Marca temporal,¿Qué tan interesante te pareció esta lección?,¿Qué tan claras fueron las explicaciones presentadas en la lección?,¿La cantidad de información presentada fue...?,¿En qué sección sentiste mayor dificultad?,¿Qué tan fácil fue seguir las instrucciones del notebook?,¿En algún momento no supiste qué hacer para continuar?,"Aproximadamente, ¿cuántos minutos te tomó completar la actividad?",¿Encontraste algún problema mientras ejecutabas el notebook?,"Si encontraste algún problema, descríbelo brevemente.",¿Qué ejemplo te pareció más útil para comprender cómo pueden utilizarse los datos?,¿Qué tan útiles te parecieron los ejemplos utilizados durante la lección?,¿La actividad final te ayudó a relacionar los conceptos vistos durante la lección?,¿Qué fue lo que más te gustó de esta lección?,"Si pudieras mejorar algo de esta lección, ¿qué cambiarías?",¿Hay algún comentario o sugerencia adicional?
04/08/2026 08:11:35,4,2,Adecuada,No tuve dificultades,5,Una vez,49,No,,Ticket de compra,4,4,El ejemplo del ticket fue fácil de seguir.,No cambiaría nada.,
04/08/2026 08:28:24,3,4,Adecuada,No tuve dificultades,5,Una vez,42,No,,Ticket de compra,5,4,La manipulación de imágenes fue la parte más entretenida.,Explicaría un poco más la diferencia entre entero y decimal.,
04/08/2026 08:16:42,4,5,Adecuada,Datos numéricos,5,Nunca,22,No,,Actividad final,4,5,El ejemplo del ticket fue fácil de seguir.,,La lección se sintió diferente a una clase tradicional.
04/08/2026 10:59:41,5,5,Adecuada,No tuve dificultades,4,Una vez,37,No,,Historial de chat,5,5,La manipulación de imágenes fue la parte más entretenida.,Agregaría una indicación de cuánto tarda cada sección.,Todo funcionó correctamente.
04/08/2026 09:13:04,4,4,Adecuada,No tuve dificultades,5,Una vez,47,"Sí, apareció un mensaje de error.",La imagen no cargó en el primer intento.,Correo promocional,2,4,El ejemplo del ticket fue fácil de seguir.,Agregaría una indicación de cuánto tarda cada sección.,
04/08/2026 09:37:14,3,4,Demasiada,Datos de texto,3,Nunca,56,"Sí, apareció un mensaje de error.",La ruta del archivo no se encontró.,Manipulación de imágenes,4,4,Me gustó ver que distintos tipos de datos producen resultados diferentes.,Agregaría una indicación de cuánto tarda cada sección.,
04/08/2026 08:34:43,3,2,Adecuada,Datos de texto,5,Nunca,57,"Sí, otro.",No se mostraba completa una salida en la pantalla.,Actividad final,5,1,La ubicación en el mapa hizo la lección más interesante.,,
04/08/2026 09:21:53,3,4,Adecuada,Actividad final,5,Nunca,50,No,,Correo promocional,5,5,El ejemplo del ticket fue fácil de seguir.,Haría más corta la sección de imágenes.,
04/08/2026 08:25:05,5,4,Adecuada,Datos numéricos,1,Nunca,75,"Sí, una instrucción no fue clara.",La instrucción para abrir la actividad final podría ser más visible.,Correo promocional,4,4,,,Me gustaría ver más ejemplos de datos en aplicaciones reales.
04/08/2026 11:01:12,5,4,Adecuada,Datos de fecha y hora,5,Nunca,49,No,,Manipulación de imágenes,5,5,La ubicación en el mapa hizo la lección más interesante.,Pondría más visible qué celdas se pueden modificar.,
04/08/2026 09:29:04,4,4,Adecuada,No tuve dificultades,4,Nunca,46,No,,Manipulación de imágenes,4,5,El ejemplo del ticket fue fácil de seguir.,Explicaría un poco más la diferencia entre entero y decimal.,
04/08/2026 09:50:29,3,3,Demasiada,Datos numéricos,4,Una vez,54,"Sí, apareció un mensaje de error.",Apareció un error al ejecutar la celda de ubicación.,Ticket de compra,5,4,Los ejemplos se relacionaban con situaciones reales.,No cambiaría nada.,Me gustaría ver más ejemplos de datos en aplicaciones reales.
04/08/2026 10:25:06,2,5,Adecuada,No tuve dificultades,3,Nunca,50,No,,Actividad final,3,5,Los ejemplos se relacionaban con situaciones reales.,No cambiaría nada.,La actividad fue sencilla de seguir.
04/08/2026 09:12:59,5,5,Adecuada,No tuve dificultades,4,Nunca,51,No,,Ticket de compra,4,5,,Explicaría un poco más la diferencia entre entero y decimal.,
04/08/2026 10:13:58,5,5,Adecuada,Datos de fecha y hora,4,Nunca,46,"Sí, apareció un mensaje de error.",La imagen no cargó en el primer intento.,Manipulación de imágenes,3,4,Me gustó ver que distintos tipos de datos producen resultados diferentes.,Agregaría un ejemplo adicional con audio.,Me gustaría ver más ejemplos de datos en aplicaciones reales.
04/08/2026 10:53:37,5,3,Muy poca,Datos multimedia,4,Varias veces,49,No,,Manipulación de imágenes,2,3,La actividad final permitió usar varios tipos de datos.,Explicaría un poco más la diferencia entre entero y decimal.,Fue una buena introducción al curso.
04/08/2026 10:22:13,5,4,Adecuada,No tuve dificultades,4,Nunca,72,No,,Manipulación de imágenes,4,3,La ubicación en el mapa hizo la lección más interesante.,Haría más corta la sección de imágenes.,
04/08/2026 10:26:19,5,5,Adecuada,No tuve dificultades,5,Una vez,32,No,,Actividad final,5,1,La manipulación de imágenes fue la parte más entretenida.,Haría más corta la sección de imágenes.,La lección se sintió diferente a una clase tradicional.
04/08/2026 08:28:40,3,3,Adecuada,No tuve dificultades,4,Una vez,50,No,,Ubicación en el mapa,5,5,Las explicaciones fueron breves y claras.,,La lección se sintió diferente a una clase tradicional.
04/08/2026 11:01:57,2,4,Adecuada,Actividad final,3,Nunca,63,No,,Manipulación de imágenes,3,5,Me gustó ver que distintos tipos de datos producen resultados diferentes.,Agregaría una indicación de cuánto tarda cada sección.,La actividad fue sencilla de seguir.
